,Currency,time_period_start,price_open,price_high,price_low,price_close,volume_traded,trades_count
300,LTC,2015-01-01,2.72,2.7539,2.68965,2.69,16032.88156685,1461.0
301,LTC,2015-01-02,2.69,2.7289,2.65552,2.65552,16363.41909499,1772.0
302,LTC,2015-01-03,2.657,2.7044,2.08,2.15,600108.60505819,21700.0
303,LTC,2015-01-04,2.15,2.2897,1.9,1.96343,482217.59064376,17956.0
304,LTC,2015-01-05,1.962,2.34,1.9494,2.078,198621.20415991,7451.0
305,LTC,2015-01-06,2.1,2.37299,2.05,2.12214,106566.91092018,4520.0
306,LTC,2015-01-07,2.12599,2.2,1.95092,2.1537,103974.77074624,5282.0
307,LTC,2015-01-08,2.14559,2.1647,1.992,2.02,78197.55685928,2904.0
308,LTC,2015-01-09,2.0188,2.03418,1.9291,1.998,59616.08118905,2419.0
309,LTC,2015-01-10,1.96,1.965,1.63805,1.65003,2847.42339118,348.0
310,LTC,2015-01-11,1.65,1.8924,1.635,1.73,366319.14135142,12780.0
311,LTC,2015-01-12,1.74,1.835,1.52,1.721,159508.68939676,8047.0
312,LTC,2015-01-13,1.69,1.725,1.47251,1.54277,535601.593765,26123.0
313,LTC,2015-01-14,1.54277,1.648,1.0557,1.189,1272823.03871452,53271.0
314,LTC,2015-01-15,1.12139,2.3,1.11027,1.293,696557.75741391,33755.0
315,LTC,2015-01-16,1.2662,1.62336,1.25,1.37914,386815.88014893,20089.0
316,LTC,2015-01-17,1.4153,1.4598,1.24016,1.2921,197729.77173523,10747.0
317,LTC,2015-01-18,1.297,1.4277,1.2373,1.315,168682.71640021,10681.0
318,LTC,2015-01-19,1.352,1.3926,1.32,1.355,16200.7605551,676.0
319,LTC,2015-01-20,1.355,1.3912,1.2752,1.31998,32268.11672317,2232.0
320,LTC,2015-01-21,1.314,1.4196,1.27871,1.3581,91079.54672626,6758.0
321,LTC,2015-01-22,1.365,1.49,1.3582,1.395,167923.80982937,8886.0
322,LTC,2015-01-23,1.392,1.4775,1.364,1.4096,83775.98521599,5754.0
323,LTC,2015-01-24,1.4512,2.867,1.4,1.832,986303.88532257,26019.0
324,LTC,2015-01-25,1.83,2.43,1.801,2.23,1737856.18565552,46002.0
325,LTC,2015-01-26,2.2641,2.53963,1.88474,2.1066,1415458.86546206,43517.0
326,LTC,2015-01-27,2.1066,2.153,1.78,2.03,486614.51744762,15628.0
327,LTC,2015-01-28,2.019,2.22775,1.73793,1.7997,196027.15869693,9231.0
